Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				5.21763e+06
P01599	P01599;A0A0C4DH72				4.20966e+06
P01601	P01601				1.36096e+06
P01602	P01602				366965
P01619	P01619				2.23904e+08
P01700	P01700				2.59663e+07
P01701	P01701				1.52756e+07
P01705	P01705				809010
P01709	P01709				2.63192e+06
P01714	P01714				4.60695e+06
P01717	P01717				2.44631e+07
P01721	P01721				1.27802e+06
P01742	P01742				8.48115e+06
P01743	P01743				498879
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				1.77066e+07
P01780	P01780				6.56538e+07
P01817	P01817				1.55452e+06
P01833	P01833				358674
P01834	P01834				9.58331e+07
P01859;P01859-1	P01859;P01859-1				2.63531e+08
P01860;P01860-1	P01860;P01860-1				7.84788e+07
P01861;P01861-1	P01861;P01861-1				1.01029e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				4.2993e+07
P01876;P01876-1	P01876;P01876-1				1.37235e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				4.53079e+06
P01903	P01903;P01906				688942
P01911	P01911				1.54935e+06
P02042	P02042				533356
P02144	P02144				548333
P02452	P02452				1.08476e+07
P02461;P02461-2	P02461;P02461-2				1.844e+06
P02462	P02462				2.09507e+06
P02647	P02647				1.18089e+09
P02649	P02649				1.01928e+09
P02652	P02652				6.46023e+08
P02654	P02654				4.44627e+07
P02655	P02655				3.68137e+06
P02656	P02656				5.40015e+06
P02671;P02671-2	P02671;P02671-2				5.72676e+07
P02675	P02675				1.34013e+08
P02679;P02679-2	P02679;P02679-2				4.64859e+07
P02741	P02741				94890.2
P02743	P02743				6.41175e+06
P02745	P02745				2.39494e+07
P02746	P02746				3.06198e+07
P02747	P02747				3.26105e+07
P02748	P02748				1.91502e+07
P02749	P02749				2.80512e+07
P02750	P02750				2.77391e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.39475e+08
