Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
P01861;P01861-1	P01861;P01861-1				1.35063e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				4.89564e+07
P01876;P01876-1	P01876;P01876-1				1.02539e+09
P01889	P01889;P04439;P04439-2				8.60994e+06
P01903	P01903;P01906				677579
P01911;P04440	P01911;P04440				898814
P02042	P02042				4.30457e+06
P02144	P02144				888651
P02452	P02452				2.55495e+07
P02461	P02461;P02461-2				3.37704e+06
P02462	P02462				729896
P02511	P02511				74435.6
P02533	P02533				541615
P02538	O95678;P02538;P48668				831658
P02647	P02647				3.43039e+09
P02649	P02649				4.70327e+09
P02652	P02652				7.64961e+08
P02654	P02654				3.96607e+07
P02655	P02655				1.52457e+06
P02656	P02656				1.07855e+07
P02671	P02671;P02671-2				1.67955e+08
P02675	P02675				1.51889e+08
P02679;P02679-2	P02679;P02679-2				9.21458e+07
P02741	P02741;P02741-2				2.68586e+06
P02743	P02743				2.05471e+07
P02745	P02745				6.04182e+07
P02746	P02746				1.47164e+08
P02747	P02747				1.16839e+08
P02748	P02748				6.72078e+07
P02749	P02749				1.37668e+08
P02750	P02750				1.54148e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				2.16752e+08
P02753	P02753				4.22172e+07
P02760	P02760				2.14794e+08
P02763	P02763				4.59701e+09
P02765	P02765				5.23994e+08
P02766	P02766				3.56503e+09
P02768	P02768				6.37377e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				1.64546e+09
P02786	P02786				863992
P02787	P02787				5.82843e+09
P02788;P02788-2	P02788;P02788-2				5.14073e+06
P02790	P02790				2.32599e+09
P02792	P02792				1.92147e+06
P02794	P02794				3.23433e+06
P03950	P03950				3.60945e+06
P03951	P03951;P03951-2				5.56054e+06
P03952	P03952				1.67624e+07
P04003	P04003				2.83509e+06
P04004	P04004				3.76565e+08
P04040	P04040				1.10281e+06
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				2.41479e+06
P04066	P04066				4.25391e+06
P04070;P04070-2	P04070;P04070-2				4.2064e+06
P04075;P04075-2	P04075;P04075-2				2.26755e+07
P04080	P04080				3.41085e+06
P04083	P04083				32791.1
P04085;P04085-2	P04085;P04085-2				5.23797e+06
P04114	P04114				4.5527e+06
P04156	P04156				2.06142e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				7.97955e+06
P04180	P04180				1.28043e+07
P04196	P04196				1.37309e+08
P04211	P04211				648865
P04216	P04216				1.71827e+08
P04217	P04217;P04217-2				1.06205e+09
P04217-2	P04217-2				4.27e+06
P04264	P04259;P04264				3.20339e+07
P04271	P04271				1.26532e+06
P04275	P04275				1.4224e+06
P04278;P04278-5	P04278;P04278-5				4.10636e+06
P04350;P07437;P68371	P04350;P07437;P68371				205338
P04406	P04406;P04406-2				4.21525e+06
P04430	P04430				3.3083e+06
P04439;P04439-2	P04439;P04439-2				8.59498e+06
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.39127e+06
P04792	P04792				207151
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				509915
P05026;P05026-2	P05026;P05026-2				466915
P05060	P05060				2.19363e+08
