Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07.mzML
Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3	Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3;Q7Z5L7-4				1.80237e+06
Q7Z5N4;Q7Z5N4-3	Q7Z5N4;Q7Z5N4-3				123947
Q7Z6M3;Q7Z6M3-2	Q7Z6M3;Q7Z6M3-2				701400
Q7Z7G0;Q7Z7G0-3;Q7Z7G0-4	Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4				2.04294e+06
Q7Z7H5;Q7Z7H5-3	Q7Z7H5;Q7Z7H5-2;Q7Z7H5-3				1.21388e+06
Q7Z7M0	Q7Z7M0;Q7Z7M0-2				6.10742e+07
Q7Z7M8	Q7Z7M8				308135
Q7Z7M9	Q7Z7M9				737376
Q86SF2	Q86SF2				6.85793e+06
Q86SJ2	Q86SJ2				676015
Q86SR1	Q86SR1;Q86SR1-2;Q86SR1-3				4.14432e+06
Q86TE4;Q86TE4-4	Q86TE4;Q86TE4-4				2.52049e+06
Q86TH1	Q86TH1				386071
Q86TY3;Q86TY3-2	Q86TY3;Q86TY3-2				4.29726e+06
Q86UD1	Q86UD1				7.59822e+06
Q86UE6	Q86UE6				192765
Q86UN2	Q86UN2				3.78e+06
Q86UN3	Q86UN3				9.7189e+06
Q86UP0;Q86UP0-2	Q86UP0;Q86UP0-2				5.48344e+06
Q86UW8	Q86UW8				1.62425e+06
Q86UX2	Q86UX2;Q86UX2-2;Q86UX2-3				2.56643e+07
Q86V85	Q86V85				529611
Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4	Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4				7.53041e+06
Q86VV8;Q86VV8-3	Q86VV8;Q86VV8-2;Q86VV8-4;Q86VV8-3				918223
Q86VZ4	Q86VZ4				3.23383e+06
Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6	Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6				2.30303e+06
Q86XR7-2;Q9Y3B3;Q9Y3B3-2	Q9Y3B3;Q86XR7-2;Q9Y3B3-2				1.24254e+06
Q86Y38	Q86Y38				4.81401e+06
Q86Y82	Q86Y82				545256
Q86YD3;Q86YD3-2;Q86YD3-4;Q86YD3-5	Q86YD3;Q86YD3-2;Q86YD3-3;Q86YD3-4;Q86YD3-5				4.8216e+06
Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4	Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4				1.65878e+06
Q86YZ3	Q86YZ3				72144
Q8IUC8	Q8IUC8;Q8IUC8-3;Q8IUC8-2				7.50586e+06
Q8IUK5;Q8IUK5-2;Q8IUK5-3	Q8IUK5;Q8IUK5-2;Q8IUK5-3;Q8IUK5-4				5.30861e+06
Q8IUK8	Q8IUK8				1.84928e+06
Q8IUX7	Q8IUX7;Q8IUX7-2				8.50725e+06
Q8IV08	Q8IV08				1.44986e+07
Q8IW52	Q8IW52				6.0528e+06
Q8IWT1	Q8IWT1;Q8IWT1-2				3.10881e+06
Q8IWU5;Q8IWU5-2	Q8IWU5;Q8IWU5-2				3.76408e+07
Q8IWU6	Q8IWU6				242394
Q8IWV2	Q8IWV2				7.78796e+06
Q8IWY4	Q8IWY4				714658
Q8IXL6	Q8IXL6;Q8IXL6-2				3.15179e+06
Q8IYJ0;Q8IYJ0-2	Q8IYJ0;Q8IYJ0-2				2.4254e+07
Q8IYS5-2;Q8IYS5-3;Q8IYS5-6	Q8IYS5;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5-6;Q8IYS5-7				1.69197e+07
Q8IZA0;Q8IZA0-2	Q8IZA0;Q8IZA0-2				4.39088e+06
Q8IZF2;Q8IZF2-2;Q8IZF2-3	Q8IZF2;Q8IZF2-2;Q8IZF2-3				282633
Q8IZJ1;Q8IZJ1-2	Q8IZJ1;Q8IZJ1-2				1.49699e+06
Q8IZJ3;Q8IZJ3-2	Q8IZJ3;Q8IZJ3-2				1.35907e+06
Q8IZP7	Q8IZP7				7.62698e+06
Q8IZS8;Q8IZS8-2	Q8IZS8;Q8IZS8-2				3.15871e+06
Q8N111	Q8N111				1.00837e+06
Q8N114;Q8N114-2	Q8N114;Q8N114-2				2.36015e+07
Q8N126;Q8N126-2	Q8N126;Q8N126-2				7.20908e+07
Q8N128;Q8N128-2	Q8N128;Q8N128-2				336497
Q8N129	Q8N129				571682
Q8N149;Q8N149-2;Q8N149-3;Q8N149-4	Q8N149;Q8N149-2;Q8N149-3;Q8N149-4				306025
Q8N2Q7;Q8N2Q7-2	Q8N2Q7;Q8N2Q7-2				2.84153e+06
Q8N2S1;Q8N2S1-2;Q8N2S1-3	Q8N2S1;Q8N2S1-2;Q8N2S1-3				9.209e+06
Q8N3G9;Q8N3G9-2	Q8N3G9;Q8N3G9-2;Q8N3G9-3				379462
Q8N3J2	Q8N3J2				1.36795e+07
Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5	Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5				1.5473e+07
Q8N3T1	Q8N3T1				785696
Q8N3T6	Q8N3T6				2.74417e+06
Q8N428	Q8N428;Q8N428-2				3.24491e+06
Q8N436	Q8N436				807631
Q8N474	Q8N474				511690
Q8N475;Q8N475-2	Q8N475;Q8N475-2;Q8N475-3				5.58856e+06
Q8N608;Q8N608-2;Q8N608-3;Q8N608-4	Q8N608;Q8N608-2;Q8N608-3;Q8N608-4				1.20451e+06
Q8N6C5;Q8N6C5-2;Q8N6C5-4	Q8N6C5;Q8N6C5-2;Q8N6C5-4				2.81463e+06
Q8N8Z6;Q8N8Z6-2	Q8N8Z6;Q8N8Z6-2				879596
Q8N967	Q8N967				1.61357e+06
Q8N9I0	Q8N9I0				667911
Q8NBI6	Q8NBI6				9.90558e+06
Q8NBJ4;Q8NBJ4-2	Q8NBJ4;Q8NBJ4-2				1.4554e+07
Q8NBJ7;Q8NBJ7-2	Q8NBJ7;Q8NBJ7-2;Q8NBJ7-3				972097
Q8NBL3	Q8NBL3;Q8NBL3-2				656111
Q8NBP7	Q8NBP7				1.88124e+06
Q8NBS9;Q8NBS9-2	Q8NBS9;Q8NBS9-2				1.82885e+06
Q8NC42	Q8NC42				1.19716e+06
Q8NC67;Q8NC67-3	Q8NC67;Q8NC67-3				415738
Q8NCC3	Q8NCC3;Q8NCC3-2				3.61042e+06
Q8NCH0	Q8NCH0				1.22605e+06
Q8NCL4	Q8NCL4				3.43339e+06
Q8NCW5;Q8NCW5-2	Q8NCW5;Q8NCW5-2				4.97053e+06
Q8NEP3;Q8NEP3-2;Q8NEP3-3	Q8NEP3;Q8NEP3-2;Q8NEP3-3				3.80874e+08
Q8NES3;Q8NES3-3	Q8NES3;Q8NES3-3				4.48978e+06
Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7	Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7				4.26505e+07
Q8NFL0	Q8NFL0				525209
Q8NFP4;Q8NFP4-2	Q8NFP4;Q8NFP4-2				3.36539e+06
Q8NFT8	Q8NFT8				6.34562e+06
Q8NFY4;Q8NFY4-2;Q8NFY4-3;Q8NFY4-4;Q8NFY4-5;Q8NFY4-6;Q8NFY4-8	Q8NFY4;Q8NFY4-2;Q8NFY4-3;Q8NFY4-4;Q8NFY4-5;Q8NFY4-6;Q8NFY4-8				4.23089e+06
Q8NFZ4	Q8NFZ4				7.8491e+06
Q8NFZ8	Q8NFZ8				4.13759e+07
Q8NHG7	Q8NHG7				900515
Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3	Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3				662896
Q8NHL6;Q8NHL6-2;Q8NHL6-3;Q8NHL6-4;Q8NHL6-5	Q8NHL6;Q8NHL6-5;Q8NHL6-2;Q8NHL6-3;Q8NHL6-4				350896
Q8NHP8	Q8NHP8;Q8NHP8-2				1.79027e+06
Q8NHQ9	Q8NHQ9				4.2791e+07
Q8NHS9;Q8NHS9-2	Q8NHS9;Q8NHS9-2				4.97572e+06
Q8TAB3;Q8TAB3-2;Q8TAB3-3	Q8TAB3;Q8TAB3-2;Q8TAB3-3				1.84546e+06
Q8TAG5;Q8TAG5-2	Q8TAG5;Q8TAG5-2				3.38789e+07
Q8TAL6	Q8TAL6				159368
Q8TB96	Q8TB96				394527
Q8TBP5	Q8TBP5				1.22228e+07
Q8TCZ2	Q8TCZ2;Q8TCZ2-2;Q8TCZ2-3;Q8TCZ2-5;Q8TCZ2-6				4.28673e+07
Q8TDF5;Q8TDF5-1;Q8TDF5-2	Q8TDF5;Q8TDF5-1;Q8TDF5-2				947564
Q8TDQ0;Q8TDQ0-2	Q8TDQ0;Q8TDQ0-2				2.5468e+06
Q8TDW7;Q8TDW7-1;Q8TDW7-2	Q8TDW7;Q8TDW7-1;Q8TDW7-2				129432
Q8TE57;Q8TE57-2	Q8TE57;Q8TE57-2				447057
Q8TEA8	Q8TEA8				1.43456e+06
Q8TER0;Q8TER0-5	Q8TER0;Q8TER0-3;Q8TER0-4;Q8TER0-5				4.98898e+06
Q8TEU8	Q8TEU8				3.65794e+07
Q8WUA8	Q8WUA8				644591
Q8WUJ3	Q8WUJ3;Q8WUJ3-2				3.54251e+06
Q8WVN6	Q8WVN6				3.9929e+06
