Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01.mzML
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				4.94779e+07
P05089;P05089-2;P05089-3	P05089;P05089-2;P05089-3				1.48564e+06
P05090	P05090				8.36508e+08
P05107	P05107				222207
P05109	P05109				158171
P05121	P05121				434965
P05154	P05154				1.25112e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				3.82317e+08
P05156	P05156				1.8161e+07
P05160	P05160				2.11391e+06
P05362	P05362				1.53391e+06
P05408;P05408-2	P05408;P05408-2				4.83536e+07
P05413	P05413				2.45775e+06
P05451	P05451;P48304				433794
P05452	P05452				5.37028e+07
P05543	P05543				1.57559e+07
P05546	P05546				5.1615e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				560961
P05937	P05937;P05937-2				1.66678e+06
P05997	P05997				456564
P06276	P06276				1.63843e+06
P06280	P06280				350344
P06307	P06307				1.17207e+07
P06310	P06310				6.48411e+06
P06312	P06312				1.07234e+08
P06315	P06315				134021
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				2.34944e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				4.82318e+08
P06396-2	P06396-2				1.83017e+06
P06681	P06681;P06681-2;P06681-3				2.1979e+07
P06702	P06702				259008
P06703	P06703				1.95271e+06
P06727	P06727				8.68345e+07
P06733	P06733;P06733-2				1.16828e+07
P06744;P06744-2	P06744;P06744-2				2.68767e+06
P06865	P06865;P06865-2				8.6903e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				4.17066e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				5.463e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.19496e+07
P07196	P07196				352305
P07225	P07225				3.9217e+07
P07237	P07237				3.40175e+07
P07311	P07311				960878
P07333	P07333;P07333-2				1.23883e+07
P07339	P07339				5.45896e+07
P07357	P07357				1.12466e+07
P07358	P07358				1.27087e+07
P07360	P07360				1.10371e+07
P07451	P07451				143720
P07492-2	P07492;P07492-2;P07492-3				251594
P07585	P07585				5.37698e+06
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				3.30635e+07
P07686	P07686				6.49637e+06
P07711	P07711;P07711-3				5.82521e+06
P07737	P07737				1.65765e+06
P07858	P07858				1.57421e+07
P07900;P07900-2	P07900;P08238;P07900-2				739741
P07942	P07942				1.63497e+06
P07988	P07988				55997.9
P07996	P07996;P07996-2				2.94236e+06
P07998	P07998				2.59056e+07
P08123	P08123				8.41354e+06
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.82008e+06
P08185	P08185				5.16104e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				3.70745e+06
P08236;P08236-3	P08236;P08236-3				252360
P08238	P08238;Q58FF7				51450.1
P08253	P08253;P08253-2;P08253-3				1.36989e+07
P08294	P08294				4.44936e+07
P08493-2	P08493;P08493-2				9.45595e+06
P08571	P08571				9.85803e+07
P08572	P08572				1.25619e+06
P08581;P08581-2	P08581;P08581-2				771403
P08582	P08582;P08582-2				412537
P08603	P08603				7.91592e+07
P08637	P08637				3.73259e+06
P08670	P08670				1.2528e+06
P08697	P08697;P08697-2				9.50987e+07
P08758	P08758				1.96474e+06
P09104	P09104;P09104-2				2.32866e+06
P09211	P09211				3.96329e+06
P09382	P09382				9.20658e+06
P09417;P09417-2	P09417;P09417-2				6.15409e+06
P09486	P09486				2.38361e+07
P09488	P09488;P46439;Q03013;P09488-2;Q03013-2				336230
P09493;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				579002
P09529	P09529				100615
P09603	P09603				2.26496e+07
P09619	P09619;P09619-2				2.78952e+06
P09622;P09622-2;P09622-3	P09622;P09622-2;P09622-3				385093
P09668	P09668				2.04122e+07
P09871	P09871				9.78502e+07
P09936	P09936				849349
P09958	P09958				167167
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				341551
P09972	P04075;P09972;P04075-2				1.43425e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				7.91958e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				3.67278e+08
P0C6S8	P0C6S8				691287
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				6.62228e+07
P0DJI8	P0DJI8				724511
P0DMQ5	P0DMQ5				7.8876e+06
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				2.19383e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				1.2477e+09
P0DOX3	P0DOX3				1.39537e+07
P0DOX5	P0DOX5				8.28075e+08
P0DOX7	P01834;P0DOX7				4.35037e+08
P0DOY3	P0DOY2;P0DOY3				2.35289e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				1.80824e+06
P0DP58	P0DP58				4.5178e+07
P0DTE1	P0DTE1				895357
P10124	P10124				1.50149e+06
