Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML
P02679;P02679-2	P02679;P02679-2				3.96699e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				373270
P02741	P02741				202224
P02743	P02743				1.76237e+07
P02745	P02745				5.01043e+07
P02746	P02746				9.43257e+07
P02747	P02747				1.33899e+08
P02748	P02748				2.58678e+07
P02749	P02749				5.48369e+07
P02750	P02750				9.81527e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				2.75644e+08
P02753	P02753				1.20801e+08
P02760	P02760				1.16525e+08
P02763	P02763				1.63975e+09
P02765	P02765				2.5898e+08
P02766	P02766				1.06892e+09
P02768	P02768				7.18737e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				6.93763e+08
P02775	P02775				1.10148e+07
P02776;P10720	P02776;P10720				2.98386e+06
P02786	P02786				1.4596e+06
P02787	P02787				2.64909e+09
P02788;P02788-2	P02788;P02788-2				5.72846e+06
P02790	P02790				7.68613e+08
P02792	P02792				2.17284e+06
P02794	P02794				4.17801e+06
P03950	P03950				3.41317e+06
P03951	P03951;P03951-2				7.32861e+06
P03952	P03952				1.62327e+07
P04003	P04003				1.51498e+07
P04004	P04004				1.68041e+08
P04040	P04040				1.07389e+06
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.85245e+06
P04066	P04066				5.17623e+06
P04070;P04070-2	P04070;P04070-2				6.65683e+06
P04075	P04075;P09972;P04075-2				3.48269e+07
P04080	P04080				5.04722e+06
P04085;P04085-2	P04085;P04085-2				2.81105e+06
P04114	P04114				8.85416e+07
P04156	P04156				2.89042e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				9.31363e+06
P04180	P04180				1.55408e+07
P04196	P04196				7.28181e+07
P04216	P04216				2.28367e+08
P04217	P04217;P04217-2				2.141e+08
P04217-2	P04217-2				2.48661e+06
P04264	P04259;P04264				8.54205e+06
P04271	P04271				2.3304e+06
P04275	P04275				2.81963e+06
P04278;P04278-5	P04278;P04278-2;P04278-3;P04278-4;P04278-5				5.5858e+06
P04406	P04406;P04406-2				6.19781e+06
P04424;P04424-2;P04424-3	P04424;P04424-2;P04424-3				243986
P04430	P04430				3.50401e+06
P04439-2	P01889;P04439;P04439-2				5.30706e+06
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				92584.2
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.12815e+06
P04792	P04792				858282
P04899;P04899-4;P08754;P09471;P09471-2;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				895229
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				724453
P05026;P05026-2	P05026;P05026-2				545940
P05060	P05060				2.1663e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				1.06353e+08
P05090	P05090				9.69304e+08
P05107	P05107				724937
P05109	P05109				614346
P05121;P05121-2	P05121;P05121-2				196761
P05154	P05154				1.01001e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				3.81328e+08
P05156	P05156				2.37844e+07
P05160	P05160				3.16405e+06
P05186;P05186-2;P05186-3	P05186;P05186-2;P05186-3				89400.5
P05362	P05362				2.04435e+06
P05408;P05408-2	P05408;P05408-2				1.91581e+08
P05413	P05413				4.84624e+06
P05451	P05451;P48304				229097
P05452	P05452				8.46728e+07
P05543	P05543				4.09253e+07
P05546	P05546				6.19074e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				585511
P05937	P05937;P05937-2				4.9712e+06
P05997	P05997				1.12733e+06
P06276	P06276				6.70743e+06
P06280	P06280				744760
P06307	P06307				2.57366e+07
P06310	P06310				9.00901e+07
P06312	P06312				1.82509e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.73151e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				3.91409e+08
P06396-2	P06396-2				2.49633e+06
P06681	P06681;P06681-2;P06681-3				2.05201e+07
P06702	P06702				1.02662e+06
P06727	P06727				7.79213e+07
P06733	P06733;P06733-2				4.84659e+06
P06744;P06744-2	P06744;P06744-2				2.25748e+06
P06865	P06865				1.12978e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				8.25223e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.30376e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				3.12047e+07
P07196	P07196				451863
P07225	P07225				1.07898e+08
P07237	P07237				1.67888e+06
P07311	P07311				966010
P07333	P07333;P07333-2				4.39963e+07
P07339	P07339				8.00567e+07
P07357	P07357				3.2461e+07
P07358	P07358				2.21578e+07
P07359	P07359				1.01921e+06
P07360	P07360				1.17918e+07
P07492	P07492				964873
P07492-2	P07492;P07492-2;P07492-3				637747
P07585	P07585				1.11434e+07
