Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE03.mzML
P01011	P01011				7.92969e+08
P01019	P01019				2.33005e+08
P01023	P01023				2.0088e+08
P01024	P01024				2.92885e+08
P01031	P01031				1.48557e+07
P01033	P01033				4.4414e+07
P01034	P01034				7.06806e+08
P01036;P01037	P01036;P01037				657483
P01042	P01042;P01042-2;P01042-3				1.52453e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.5393e+07
P01127;P01127-2	P01127;P01127-2				1.00322e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				213888
P01178	P01178				397701
P01210	P01210				6.08201e+07
P01213	P01213				1.56498e+06
P01236	P01236				264049
P01258;P01258-2	P01258;P06881;P10092;P01258-2				572353
P01282;P01282-2	P01282;P01282-2				539838
P01303	P01303				2.29495e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				3.04855e+07
P01591	P01591				7.37001e+06
P01593;P01594	P01593;P01594				1.6959e+07
P01599	P01599;A0A0C4DH72				2.15481e+06
P01602	P01602				241041
P01619	P01619				2.02573e+08
P01700	P01700				2.47178e+07
P01701	P01701				9.87319e+06
P01703	P01703				2.51497e+06
P01705	P01705				1.05211e+06
P01709	P01706;P01709;P0DOX8				7.87152e+06
P01714	P01714				2.96416e+06
P01715	P01715				1.08554e+06
P01717	P01717				5.97545e+06
P01721	P01721				9.12407e+06
P01742	P01742				244775
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				2.42076e+07
P01780	P01780				6.8531e+07
P01817	P01817				6.09299e+06
P01833	P01833				1.04604e+06
P01834	P01834				3.38208e+08
P01859;P01859-1	P01859;P01859-1				5.97028e+08
P01860;P01860-1	P01860;P01860-1				1.94266e+07
P01861;P01861-1	P01861;P01861-1				1.51144e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				1.57728e+07
P01876;P01876-1	P01876;P01876-1				3.20666e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				1.38432e+06
P01903	P01903;P01906				591546
P01911	P01911				1.56461e+06
P02042	P02042				1.46946e+06
P02144	P02144				1.19495e+06
P02452	P02452				1.03514e+07
P02461	P02461;P02461-2				3.19016e+06
P02462	P02462				2.94675e+06
P02511	P02511				675663
P02533	P02533;Q04695				220513
P02538	O95678;P02538;P48668				943636
P02647	P02647				1.20042e+09
P02649	P02649				1.71549e+09
P02652	P02652				1.68892e+08
P02654	P02654				1.51313e+07
P02655	P02655				531351
P02656	P02656				8.25952e+06
P02671	P02671;P02671-2				4.17421e+07
P02675	P02675				9.4482e+07
P02679;P02679-2	P02679;P02679-2				2.80917e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				52635.1
P02741	P02741;P02741-2				343732
P02743	P02743				2.79432e+06
P02745	P02745				3.09422e+07
P02746	P02746				3.26725e+07
P02747	P02747				8.19171e+07
P02748	P02748				1.95247e+07
P02749	P02749				7.6923e+07
P02750	P02750				8.53136e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.58354e+08
P02753	P02753				6.72632e+07
P02760	P02760				6.9367e+07
P02763	P02763				1.29325e+09
P02765	P02765				1.95154e+08
P02766	P02766				9.11722e+08
P02768	P02768				3.58987e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				6.87831e+08
P02775	P02775				604756
P02786	P02786				611446
P02787	P02787				1.07584e+09
P02788;P02788-2	P02788;P02788-2				3.49566e+06
P02790	P02790				7.55831e+08
P02792	P02792				1.0763e+06
P02794	P02794				2.50124e+06
P03950	P03950				3.70363e+06
P03951	P03951;P03951-2				2.07847e+06
P03952	P03952				8.06675e+06
P04003	P04003				908437
P04004	P04004				5.13816e+07
P04040	P04040				531171
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				2.00045e+06
P04066	P04066				1.78516e+06
P04070;P04070-2	P04070;P04070-2				1.84942e+06
P04075;P04075-2	P04075;P04075-2				6.88232e+06
P04080	P04080				2.20285e+06
P04083	P04083				21533.5
P04085;P04085-2	P04085;P04085-2				3.14003e+06
P04114	P04114				6.80933e+06
P04156	P04156				1.09429e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				4.72305e+06
P04180	P04180				1.1908e+07
P04196	P04196				7.47018e+07
P04216	P04216				3.88584e+07
P04217	P04217;P04217-2				2.15405e+08
P04217-2	P04217-2				1.11191e+06
P04233-2;P04233-5	P04233-2;P04233-5				1.72377e+06
P04264	P04259;P04264				1.62202e+07
P04271	P04271				627635
P04275	P04275				1.43133e+06
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				3.42917e+06
P04350;P07437;P68371	P04350;P07437;P68371				86170.1
P04406	P04406;P04406-2				1.71236e+06
P04430	P04430				3.07337e+06
P04439;P04439-2	P04439;P04439-2				3.02125e+06
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				53273.1
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				692462
P04792	P04792				478217
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				139182
P05026;P05026-2	P05026;P05026-2				483041
P05060	P05060				2.17721e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.86156e+07
P05090	P05090				6.26823e+08
P05107	P05107				182992
P05109	P05109				163635
P05121	P05121				309937
P05154	P05154				8.14256e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				2.5627e+08
P05156	P05156				1.52216e+07
P05160	P05160				2.56293e+06
P05362	P05362				889994
P05408;P05408-2	P05408;P05408-2				6.30749e+07
P05413	P05413				1.68004e+06
P05451	P05451;P48304				296559
P05452	P05452				4.66323e+07
P05543	P05543				2.08627e+07
P05546	P05546				1.81076e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				375536
P05937	P05937;P05937-2				2.21623e+06
P05997	P05997				391776
P06276	P06276				2.89876e+06
P06280	P06280				31452
P06307	P06307				5.60392e+06
P06310	P06310				5.6637e+07
P06312	P06312				5.68731e+07
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.1938e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				3.89158e+08
P06396-2	P06396-2				749078
P06681	P06681;P06681-2;P06681-3				1.36997e+07
P06702	P06702				378304
P06727	P06727				1.07755e+08
P06733	P06733;P06733-2				1.54932e+06
P06744;P06744-2	P06744;P06744-2				816995
P06865	P06865				6.64972e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				3.4219e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				3.48372e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.00523e+07
P07196	P07196				309961
P07225	P07225				4.72552e+07
P07237	P07237				1.16395e+06
P07333	P07333;P07333-2				1.74222e+07
P07339	P07339				3.94188e+07
P07357	P07357				1.96433e+07
P07358	P07358				2.41245e+07
P07359	P07359				380028
P07360	P07360				1.62038e+07
P07451	P07451				779899
P07492-2	P07492;P07492-2;P07492-3				449476
P07585	P07585				6.49608e+06
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				2.53346e+07
P07686	P07686				5.67665e+06
P07711	P07711;P07711-3				3.29828e+06
P07737	P07737				1.38061e+06
P07858	P07858				1.33975e+07
P07900;P07900-2	P07900;P08238;P07900-2				496270
P07942	P07942				1.77412e+06
P07996	P07996;P07996-2				1.78637e+06
P07998	P07998				2.08251e+07
P08123	P08123				1.00272e+07
P08133;P08133-2	P08133;P08133-2				479202
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.64726e+06
P08185	P08185				4.84225e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				5.4956e+06
P08236;P08236-3	P08236;P08236-2;P08236-3				380965
P08253	P08253;P08253-2;P08253-3				6.28034e+08
P08294	P08294				7.58866e+07
P08493-2	P08493;P08493-2				1.25304e+07
P08571	P08571				4.95709e+07
P08572	P08572				1.62869e+06
P08581;P08581-2	P08581;P08581-2				63747.5
P08582	P08582				320887
P08603	P08603				7.1081e+07
P08637	P08637				4.74998e+06
P08670	P08670;P17661				2.5977e+06
P08697	P08697;P08697-2				9.66544e+07
P08758	P08758				1.66919e+06
P08779	P08779				2.24733e+06
P08949;P08949-2	P08949;P08949-2				80302.8
P09104	P09104;P09104-2				3.78177e+06
P09172	P09172				158135
P09211	P09211				2.13657e+06
P09382	P09382				7.96983e+06
P09417;P09417-2	P09417;P09417-2				3.23106e+06
P09486	P09486				1.41762e+07
P09493;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				117285
P09603	P09603				2.6432e+07
P09619	P09619;P09619-2				1.5223e+06
P09622;P09622-2;P09622-3	P09622;P09622-2;P09622-3				52634.2
P09668	P09668				2.70866e+07
P09871	P09871				6.1532e+07
P09936	P09936				601197
P09958	P09958				319144
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				79608.5
P09972	P04075;P05062;P09972;P04075-2				1.5942e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				8.14391e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				3.02596e+08
P0C6S8	P0C6S8				888728
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				6.12719e+07
P0DJI8	P0DJI8;P0DJI9				572552
P0DMQ5	P0DMQ5				9.07248e+06
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				4.96641e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				4.6633e+08
P0DOX3	P0DOX3				1.90107e+07
P0DOX5	P0DOX5				1.64218e+09
P0DOX7	P01834;P0DOX7				5.88189e+08
P0DOX8	B9A064;P0DOX8				8.87304e+07
P0DOY3	P0DOY2;P0DOY3				8.00067e+07
P0DP07	P0DP07				441904
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				2.03741e+06
P0DP58	P0DP58				3.7138e+07
P0DTE1	P0DTE1				1.85844e+06
P10124	P10124				2.15159e+06
P10153	P10153				1.79802e+06
P10253	P10253				784056
P10321;P10321-2	P10321;P10321-2				1.39132e+06
P10451-3	P10451-3				1.32324e+07
P10451-5	P10451;P10451-4;P10451-5				1.208e+08
P10451;P10451-4	P10451;P10451-4				1.36338e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				4.76831e+06
P10599;P10599-2	P10599;P10599-2				5.95272e+06
P10619;P10619-2	P10619;P10619-2				64099.6
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				281737
P10643	P10643				3.98198e+07
P10645	P10645				1.77006e+08
P10721;P10721-2	P10721;P10721-2				2.30487e+06
P10745	P10745				1.13034e+06
P10768	P10768				449788
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				4.53472e+08
P10915	P10915				120265
P11021	P11021				3.30673e+06
P11047	P11047				1.49713e+06
P11117	P11117				842175
P11142	P11142				2.48719e+06
P11226	P11226				381261
P11279	P11279;P11279-2				5.8774e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				6.52773e+06
P11597	P11597;P11597-2				207924
P11717	P11717				5.82089e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				224416
P12109	P12109				2.32455e+07
P12110	P12110;P12110-2;P12110-3				1.4039e+06
P12111	P12111;P12111-2;P12111-4				7.247e+06
P12259	P12259				4.78864e+06
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				370218
P12277	P12277				430872
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				2.7947e+06
P12318;P12318-2	P12318;P12318-2				5.7186e+06
P12532;P12532-2;P17540	P12532;P17540;P12532-2				71277.5
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				533854
P12830;P12830-2	P12830;P12830-2				1.15164e+06
P12955;P12955-2	P12955;P12955-2				1.35295e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				4.75342e+07
P13489	P13489				307270
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				1.37438e+06
P13521	P13521				1.9829e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				4.85147e+07
P13591-3	P13591-1;P13591-3;P13591-4				1.00705e+07
P13598	P13598				546199
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				8.14981e+06
P13637;P13637-2;P13637-3	P13637;P13637-2;P13637-3				1.05216e+06
P13645	P13645				6.34445e+06
P13647	P13647				1.33628e+06
P13667	P13667				330313
P13671	P13671				6.6913e+06
P13693	P13693;Q9HAU6;P13693-2				122877
P13747	P13747				778272
P13796	P13796;P13796-2				3.76954e+06
P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3				277979
P13987;P13987-2	P13987;P13987-2				1.31866e+07
P14136	P14136				2.81526e+06
