Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.20858e+07
P01599	P01599;A0A0C4DH72				2.80531e+06
P01619	P01619				2.84048e+08
P01700	P01700				2.30582e+07
P01701	P01701				2.24055e+07
P01705	P01705				947366
P01714	P01714				7.98462e+06
P01717	P01717				2.81308e+07
P01721	P01721				1.26298e+06
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				2.22546e+07
P01780	P01780				1.63492e+07
P01817	P01817				3.43757e+06
P01833	P01833				1.40063e+06
P01834	P01834				7.24507e+07
P01857;P01857-1;P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				1.59832e+09
P01859;P01859-1	P01859;P01859-1				2.62088e+08
P01860;P01860-1	P01860;P01860-1				3.0961e+07
P01861;P01861-1	P01861;P01861-1				8.26018e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				2.64156e+07
P01876;P01876-1	P01876;P01876-1				3.9331e+08
P01889	P01889;P13747				5.11681e+06
P01903	P01903;P01906				696137
P01911	P01911				1.97249e+06
P02144	P02144				262678
P02452	P02452				1.54532e+07
P02461	P02461;P02461-2				3.42252e+06
P02462	P02462				2.4762e+06
P02533;P08727;P08779;P13646;P13646-3;P19012;P19012-2;P35900;Q04695;Q8N1A0;Q8N1A0-2	P02533;P08727;P08779;P13646;P19012;P35900;Q04695;Q8N1A0;P13646-3;Q8N1A0-2;P19012-2				181806
P02647	P02647				1.55035e+09
P02649	P02649				6.94619e+09
P02652	P02652				5.56656e+08
P02654	P02654				3.95952e+07
P02655	P02655				3.50412e+06
P02656	P02656				1.20838e+07
P02671;P02671-2	P02671;P02671-2				1.00798e+08
P02675	P02675				5.96316e+07
P02679;P02679-2	P02679;P02679-2				7.57086e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				735644
P02741	P02741;P02741-2				1.54794e+06
P02743	P02743				3.55325e+06
P02745	P02745				7.52157e+07
P02746	P02746				1.2663e+08
P02747	P02747				8.22079e+07
P02748	P02748				3.4104e+07
P02749	P02749				9.38631e+07
P02750	P02750				1.07635e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.83668e+08
P02753	P02753				6.44677e+07
P02760	P02760				4.377e+07
P02763	P02763				2.01517e+09
P02765	P02765				2.60468e+08
P02766	P02766				2.11949e+09
P02768	P02768				6.97963e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				6.84678e+08
P02786	P02786				1.13544e+06
P02787	P02787				2.84411e+09
P02788;P02788-2	P02788;P02788-2				3.33394e+06
P02790	P02790				1.48796e+09
P02792	P02792				2.78864e+06
P02794	P02794				4.84839e+06
P02818	P02818				1.18789e+06
P03950	P03950				1.76826e+06
P03951	P03951;P03951-2				2.53098e+06
P03952	P03952				7.13379e+06
P04003	P04003				1.61616e+06
P04004	P04004				8.83872e+07
P04040	P04040				607823
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-3;P04062-4;P04062-5				2.22897e+06
P04066	P04066				3.71917e+06
P04070;P04070-2	P04070;P04070-2				5.0589e+06
P04075	P04075;P09972;P04075-2				2.73278e+07
P04080	P04080				4.93679e+06
P04083	P04083				89857.9
P04085;P04085-2	P04085;P04085-2				3.7771e+06
P04114	P04114				4.93027e+06
P04156	P04156				2.32843e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				1.07512e+07
P04180	P04180				8.34061e+06
P04196	P04196				8.11416e+07
P04211	P04211;A0A075B6I9				1.16565e+07
P04216	P04216				6.02239e+07
P04217	P04217;P04217-2				3.16292e+08
P04217-2	P04217-2				816698
P04233-2;P04233-5	P04233-2;P04233-5				1.67554e+06
P04264	P04259;P04264				1.72901e+07
P04271	P04271				2.89412e+06
P04275	P04275				1.66401e+06
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				2.269e+06
P04350;P07437;P68371	P04350;P07437;P68371				233075
P04406	P04406;P04406-2				4.4436e+06
P04430	P04430				1.89804e+06
P04439;P04439-2	P04439;P04439-2				841311
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				216607
P04792	P04792				1.18412e+06
