Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C8_82882588_repeat.mzML
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				2.26098e+06
P05937	P05937;P05937-2				2.09712e+07
P05997	P05997				4.51911e+06
P06276	P06276				1.67203e+07
P06307	P06307				5.29199e+07
P06310	P06310				6.06269e+07
P06312	P06312				2.6735e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				9.71396e+06
P06396	P06396;P06396-2;P06396-3;P06396-4				1.17085e+09
P06396-2	P06396-2				7.5433e+07
P06681	P06681;P06681-2;P06681-3				7.05892e+07
P06702	P06702				348294
P06703	P06703				8.83918e+06
P06727	P06727				5.74155e+08
P06733	P06733;P06733-2				2.58037e+07
P06744;P06744-2	P06744;P06744-2				9.82598e+06
P06865	P06865				4.04242e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				2.13614e+07
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				2.46858e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				6.28158e+07
P07225	P07225				1.23481e+08
P07237	P07237				1.02961e+07
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				1.38474e+06
P07311	P07311				1.74495e+06
P07333	P07333;P07333-2				1.00565e+08
P07339	P07339				4.74918e+08
P07355;P07355-2	A6NMY6;P07355;P07355-2				2.26195e+06
P07357	P07357				3.03146e+07
P07358	P07358				4.69543e+07
P07359	P07359				2.17724e+06
P07360	P07360				2.19244e+07
P07451	P07451				120238
P07492	P07492;P07492-2;P07492-3				5.20051e+06
P07492-2	P07492-2				520277
P07585	P07585				6.04815e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				5.28867e+08
P07686	P07686				1.55323e+07
P07711	P07711;P07711-3				3.80569e+07
P07737	P07737				6.65977e+06
P07858	P07858				1.19677e+08
P07900;P07900-2	P07900;P07900-2				2.37832e+06
P07942	P07942				1.18964e+07
P07988	P07988				511142
P07996	P07996;P07996-2				6.60651e+06
P07998	P07998				1.75929e+07
P08123	P08123				1.00667e+08
P08133;P08133-2	P08133;P08133-2				566898
P08134;P61586	P08134;P61586				30679.7
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				2.174e+07
P08185	P08185				1.94059e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				3.46212e+07
P08236;P08236-3	P08236;P08236-3				934452
P08238	P07900;P08238;P07900-2				1.97603e+06
P08253	P08253;P08253-2;P08253-3				8.45429e+07
P08254;P09238	P08254;P09238				1.09625e+06
P08294	P08294				4.88665e+08
P08476	P08476				1.19692e+06
P08493-2	P08493;P08493-2				1.60512e+08
P08571	P08571				9.07818e+08
P08572	P08572				5.3197e+06
P08581;P08581-2	P08581;P08581-2;P08581-3				6.50174e+06
P08582	P08582;P08582-2				4.63022e+06
P08603	P08603				3.20536e+08
P08637	P08637				3.36052e+07
P08670	P08670;P17661				4.24177e+06
P08697	P08697;P08697-2				3.96016e+08
P08709;P08709-2	P08709;P08709-2				1.63669e+06
P08758	P08758				6.63296e+06
P09104	P09104;P09104-2				3.0897e+07
P09211	P09211				3.86567e+07
P09382	P09382				2.19823e+07
P09417;P09417-2	P09417;P09417-2				2.89964e+07
P09455;P09455-2;P09455-3	P09455;P09455-2;P09455-3				1.73203e+06
P09486	P09486				2.52383e+08
P09493-6;P09493-7;P09493-8	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				506442
P09529	P09529				3.13533e+06
P09603	P09603				1.38012e+08
P09619	P09619				9.43637e+06
P09622	P09622;P09622-2				1.63344e+07
P09668	P09668				9.00318e+07
P09871	P09871				2.30079e+08
P09936	P09936				2.24186e+07
P09958	P09958				2.02193e+06
P09960;P09960-4	P09960;P09960-2;P09960-3;P09960-4				2.02298e+06
P09972	P09972				4.02766e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				2.09028e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				1.00721e+09
P0C6S8	P0C6S8				5.7924e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				4.02677e+08
P0DJI8	P0DJI8				2.79967e+06
P0DMQ5	P0DMQ5				5.13037e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				6.05471e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.42148e+08
P0DOX3	P0DOX3				1.74559e+07
P0DOX5	P0DOX5				2.7412e+09
P0DOX7	P01834;P0DOX7				2.06904e+08
P0DOY3	P0DOY2;P0DOY3				6.39451e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				7.30536e+06
P0DP58	P0DP58				3.52441e+08
P0DTE1	P0DTE1				2.47349e+06
P10114	P10114				567209
P10124	P10124				7.76447e+06
P10153	P10153				5.50556e+07
P10253	P10253				8.88916e+06
P10321	P10321;P10321-2				5.11755e+06
P10451-3	P10451-3				6.17954e+07
P10451-5	P10451;P10451-4;P10451-5				9.26163e+08
P10451;P10451-4	P10451;P10451-4				4.40308e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				5.00055e+07
P10599	P10599;P10599-2				2.45286e+07
P10619;P10619-2	P10619;P10619-2				2.14886e+06
P10636;P10636-2;P10636-4;P10636-5;P10636-6;P10636-7;P10636-8;P10636-9	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				3.29399e+06
P10643	P10643				1.16242e+08
P10644;P10644-2	P10644;P10644-2				2.59181e+06
P10645	P10645				1.95704e+09
P10721;P10721-2	P10721;P10721-2				1.70494e+07
P10745	P10745				5.03561e+06
P10768	P10768				6.30581e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				3.76313e+09
P10915	P10915				1.7134e+06
P11021	P11021				1.87251e+07
P11047	P11047				1.41388e+07
P11117	P11117				5.63612e+06
P11137;P11137-3	P11137;P11137-3				221501
P11142	P11142				3.45721e+07
P11215;P11215-2	P11215;P11215-2				1.58911e+06
P11279	P11279;P11279-2				2.27902e+07
