Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G1_82881418_repeat.mzML
Q9HBT6	Q9HBT6				8.23163e+06
Q9HBW1	Q9HBW1				2.01734e+06
Q9HC38;Q9HC38-2	Q9HC38;Q9HC38-2;Q9HC38-3				756310
Q9HC56;Q9HC56-2	Q9HC56;Q9HC56-2				5.85272e+06
Q9HC57	Q9HC57				4.58345e+06
Q9HCB6	Q9HCB6				4.66845e+06
Q9HCK4;Q9HCK4-2;Q9HCK4-3	Q9HCK4;Q9HCK4-2;Q9HCK4-3				758744
Q9HCU0	Q9HCU0				6.35611e+06
Q9HCU4	Q9HCU4				1.54352e+07
Q9HDB5;Q9HDB5-2;Q9HDB5-3;Q9HDB5-4	Q9HDB5;Q9HDB5-2;Q9HDB5-3;Q9HDB5-4				1.65094e+07
Q9HDC9	Q9HDC9;Q9HDC9-2				1.58039e+06
Q9NP58;Q9NP58-4	Q9NP58;Q9NP58-4				4.25282e+06
Q9NP80;Q9NP80-2;Q9NP80-3	Q9NP80;Q9NP80-2;Q9NP80-3				2.83347e+07
Q9NPC4	Q9NPC4				2.7823e+06
Q9NPG4	Q9NPG4				1.8851e+06
Q9NPH3;Q9NPH3-2;Q9NPH3-5	Q9NPH3;Q9NPH3-2;Q9NPH3-3;Q9NPH3-5				1.3557e+06
Q9NPR2;Q9NPR2-2	Q9NPR2;Q9NPR2-2				8.99233e+06
Q9NPY3	Q9NPY3				1.33907e+06
Q9NQ30	Q9NQ30				825224
Q9NQ38;Q9NQ38-3	Q9NQ38;Q9NQ38-2;Q9NQ38-3				403895
Q9NQ79;Q9NQ79-2	Q9NQ79;Q9NQ79-2;Q9NQ79-3				8.90327e+07
Q9NQS3;Q9NQS3-2;Q9NQS3-3	Q9NQS3;Q9NQS3-2;Q9NQS3-3				1.08042e+06
Q9NQX5	Q9NQX5				3.1922e+06
Q9NR34	Q9NR34				1.00421e+07
Q9NRB3	Q9NRB3				189208
Q9NRN5	Q9NRN5;Q9NRN5-2				1.26176e+07
Q9NRR1	Q9NRR1				7.85364e+06
Q9NS15;Q9NS15-2	Q9NS15;Q9NS15-2				339169
Q9NS85	Q9NS85;Q9NS85-2				1.79496e+06
Q9NS98	Q9NS98				9.98283e+06
Q9NSC7	Q9NSC7				3.00823e+06
Q9NT22;Q9NT22-2	Q9NT22;Q9NT22-2				5.54066e+06
Q9NT99	Q9NT99				8.28576e+06
Q9NTU7	Q9NTU7				8.87057e+06
Q9NUQ9	Q9NUQ9;Q9NUQ9-2				1.16813e+06
Q9NX62	Q9NX62				1.92909e+07
Q9NXS2;Q9NXS2-3	Q9NXS2;Q9NXS2-3				1.0195e+06
Q9NY15	Q9NY15;Q9NY15-2				2.22088e+06
Q9NY47;Q9NY47-2;Q9NY47-3;Q9NY47-4;Q9NY47-5	Q9NY47;Q9NY47-2;Q9NY47-3;Q9NY47-4;Q9NY47-5				4.93555e+06
Q9NY72	Q9NY72				3.34815e+06
Q9NY97;Q9NY97-2	Q9NY97;Q9NY97-2				1.63456e+07
Q9NYQ8	Q9NYQ8				1.48209e+09
Q9NYX4	Q9NYX4				8.92014e+06
Q9NZ08;Q9NZ08-2	Q9NZ08;Q9NZ08-2				1.73427e+07
Q9NZ53	Q9NZ53;Q9NZ53-2				5.66869e+06
Q9NZ72;Q9NZ72-2	Q9NZ72;Q9NZ72-2				4.35735e+06
Q9NZ94;Q9NZ94-2;Q9NZ94-3	Q9NZ94;Q9NZ94-2;Q9NZ94-3				742825
Q9NZC2;Q9NZC2-2;Q9NZC2-3	Q9NZC2;Q9NZC2-2;Q9NZC2-3				4.65382e+06
Q9NZK5	Q9NZK5				5.17337e+06
Q9NZN1	Q9NZN1				1.81698e+06
Q9NZP8	Q9NZP8				3.32246e+07
Q9NZR2	Q9NZR2				1.38821e+06
Q9NZU0	Q9NZU0				361715
Q9NZU1	Q9NZU1				3.79692e+06
Q9P035	Q9P035				150380
Q9P0K1;Q9P0K1-2;Q9P0K1-5	Q9P0K1;Q9P0K1-2;Q9P0K1-3;Q9P0K1-4;Q9P0K1-5				4.24299e+07
Q9P0K9	Q9P0K9				1.2616e+07
Q9P0L0;Q9P0L0-2	Q9P0L0;Q9P0L0-2				3.13939e+06
Q9P0S2	Q9P0S2				964781
Q9P121-4	Q9P121;Q9P121-3;Q9P121-2;Q9P121-4				5.6198e+07
Q9P232	Q9P232				1.2046e+07
Q9P2E7;Q9P2E7-2	Q9P2E7;Q9P2E7-2				2.37155e+06
Q9P2S2	P58401;Q9P2S2				2.44305e+07
Q9UBG0	Q9UBG0				2.43573e+06
Q9UBP4	Q9UBP4				6.82389e+08
Q9UBQ6	Q9UBQ6				5.61968e+07
Q9UBR2	Q9UBR2				2.76156e+07
Q9UBV2;Q9UBV2-2	Q9UBV2;Q9UBV2-2				603324
Q9UBX1	Q9UBX1				1.32667e+07
Q9UBX5	Q9UBX5				2.38342e+07
Q9UBX7;Q9UBX7-1;Q9UBX7-3;Q9UBX7-4	Q9UBX7;Q9UBX7-1;Q9UBX7-3;Q9UBX7-4				2.65624e+06
Q9UD71;Q9UD71-2	Q9UD71;Q9UD71-2				331090
Q9UEW3;Q9UEW3-2	Q9UEW3;Q9UEW3-2				873220
Q9UF11;Q9UF11-2;Q9UF11-3;Q9UF11-4	Q9UF11;Q9UF11-2;Q9UF11-3;Q9UF11-4				2.8969e+06
Q9UFP1	Q9UFP1				2.1625e+06
Q9UGM5;Q9UGM5-2	Q9UGM5;Q9UGM5-2				6.71925e+06
Q9UHC6	Q9UHC6				2.15813e+07
Q9UHF0;Q9UHF0-2;Q9UHF0-3	Q9UHF0;Q9UHF0-2;Q9UHF0-3				2.07994e+06
Q9UHG2	Q9NPY3;Q9UHG2				1.92644e+08
Q9UHG3;Q9UHG3-2	Q9UHG3;Q9UHG3-2				579068
Q9UHI8	Q9UHI8				7.26921e+06
Q9UHL4	Q9UHL4				1.41987e+07
Q9UHY7;Q9UHY7-2	Q9UHY7;Q9UHY7-2				424486
Q9UI15	Q9UI15				206414
Q9UI42;Q9UI42-2	Q9UI42;Q9UI42-2				914658
