Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B7_81787765.mzML
P06307	P06307				1.19551e+07
P06310	P06310				1.48591e+08
P06312	P06312				1.69937e+08
P06315	P06315				735170
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.83771e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				4.20698e+08
P06396-2	P06396-2				2.14354e+06
P06681	P06681;P06681-3				3.16213e+07
P06702	P06702				848896
P06703	P06703				254435
P06727	P06727				3.71657e+08
P06733	P06733;P06733-2				8.00194e+06
P06744;P06744-2	P06744;P06744-2				5.55058e+06
P06865	P06865				1.00269e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				3.92235e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				4.54865e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.75053e+07
P07225	P07225				7.77514e+07
P07237	P07237				2.09738e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				181535
P07311	P07311				452167
P07333	P07333;P07333-2				4.16245e+07
P07339	P07339				1.20041e+08
P07355;P07355-2	A6NMY6;P07355;P07355-2				852894
P07357	P07357				1.05061e+07
P07358	P07358				1.37627e+07
P07360	P07360				9.41596e+06
P07384	P07384				63672.2
P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6	P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6				2.7521e+06
P07492	P07492;P07492-2;P07492-3				2.56184e+06
P07492-2	P07492-2				129003
P07585	P07585				3.12408e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				4.23933e+07
P07686	P07686				8.43567e+06
P07711	P07711;P07711-3				1.55057e+07
P07737	P07737				1.37177e+06
P07858	P07858				3.56043e+07
P07900;P07900-2	P07900;P07900-2				750889
P07942	P07942				3.10073e+06
P07996	P07996;P07996-2				1.29093e+06
P07998	P07998				1.07472e+07
P08123	P08123				2.20741e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				2.04109e+07
P08185	P08185				1.27439e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				6.45035e+06
P08253	P08253;P08253-2;P08253-3				1.89471e+07
P08294	P08294				7.51911e+07
P08493;P08493-2	P08493;P08493-2				1.15767e+07
P08571	P08571				6.87304e+07
P08572	P08572				2.61212e+06
P08581;P08581-2	P08581;P08581-2				2.76697e+06
P08582	P08582;P08582-2				2.71199e+06
P08603	P08603;P08603-2				6.75771e+07
P08637	P08637				2.83869e+06
P08670	P08670;P17661				1.33503e+06
P08697	P08697;P08697-2				1.90258e+08
P08758	P08758				655745
P09104	P09104;P09104-2				1.17595e+07
P09172	P09172				179052
P09211	P09211				4.39675e+06
P09382	P09382				7.34862e+06
P09417;P09417-2	P09417;P09417-2				8.88398e+06
P09486	P09486				1.37411e+08
P09529	P09529				201491
P09603	P09603				4.02809e+07
P09619	P09619;P09619-2				5.44774e+06
P09622;P09622-2	P09622;P09622-2;P09622-3				3.57099e+06
P09668	P09668				2.12578e+07
P09871	P09871				6.84097e+07
P09936	P09936				1.38906e+06
P09958	P09958				579966
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				174484
P09972	P09972				1.3987e+07
