Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E9_82882320_repeat.mzML
Q13634;Q13634-2	Q13634;Q13634-2				1.01489e+07
Q13641	Q13641				786533
Q13642-4;Q13642-5	Q13642;Q13642-1;Q13642-3;Q13642-4;Q13642-5				2.94432e+06
Q13683;Q13683-10;Q13683-3;Q13683-7;Q13683-9	Q13683;Q13683-10;Q13683-13;Q13683-3;Q13683-7;Q13683-9				2.91293e+06
Q13740;Q13740-2	Q13740;Q13740-2;Q13740-3				2.88202e+07
Q13790	Q13790				153733
Q13822-3	Q13822;Q13822-3				7.23696e+08
Q13867	Q13867				319172
Q14019	Q14019				1.02484e+07
Q14112;Q14112-2	Q14112;Q14112-2				9.76291e+06
Q14114;Q14114-2;Q14114-3;Q14114-4	Q14114;Q14114-3;Q14114-2;Q14114-4				665902
Q14118	Q14118				1.37272e+08
Q14126	Q14126				2.43575e+07
Q14165	Q14165				6.55579e+06
Q14213	Q14213				414589
Q14242;Q14242-2	Q14242;Q14242-2				2.80514e+06
Q14257;Q14257-2	Q14257;Q14257-2				1.52915e+06
Q14314	Q14314				7.24743e+06
Q14315;Q14315-2	Q14315;Q14315-2				3.09063e+06
Q14393;Q14393-1;Q14393-3;Q14393-4;Q14393-5	Q14393;Q14393-1;Q14393-3;Q14393-4;Q14393-5				8.27987e+06
Q14515	Q14515;Q14515-2				2.34822e+08
Q14517	Q14517				797075
Q14520;Q14520-2	Q14520;Q14520-2				6.8034e+06
Q14563	Q14563				1.68335e+06
Q14574;Q14574-2	Q14574;Q14574-2				5.11689e+06
Q14624	Q14624				7.61573e+07
Q14624-2;Q14624-3;Q14624-4	Q14624-2;Q14624-3;Q14624-4				1.54672e+07
Q14696	Q14696				2.94487e+06
Q14697;Q14697-2	Q14697;Q14697-2				5.25486e+06
Q14703	Q14703				306825
Q14766	Q14766;Q14766-4				8.99316e+06
Q14767	Q14767				7.17022e+06
Q14894	Q14894				1.02933e+06
Q14956;Q14956-2	Q14956;Q14956-2				1.43025e+06
Q14982;Q14982-2;Q14982-3;Q14982-4	Q14982;Q14982-2;Q14982-3;Q14982-4				1.14082e+07
Q14C87	Q14C87;Q14C87-2				3.51566e+06
Q14CZ8	Q14CZ8				2.50789e+06
Q14DG7	Q14DG7;Q14DG7-2				2.15647e+06
Q15043;Q15043-2;Q15043-3	Q15043;Q15043-2;Q15043-3				129714
Q15063-3	Q15063-3;Q15063-4;Q15063-7				958241
Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5	Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5				1.25668e+06
Q15113	Q15113				9.47343e+07
Q15121;Q15121-2	Q15121;Q15121-2				71797.1
Q15165;Q15165-1;Q15165-3	Q15165;Q15165-1;Q15165-3				248116
Q15166	Q15166				1.66702e+07
Q15223;Q15223-2;Q15223-3	Q15223;Q15223-2;Q15223-3				1.35502e+07
Q15256	Q15256;Q15256-5				1.41013e+06
Q15257;Q15257-2;Q15257-3	Q15257;Q15257-2;Q15257-3				691283
Q15262;Q15262-2;Q15262-3;Q15262-4	Q15262;Q15262-2;Q15262-3;Q15262-4				2.81897e+06
Q15293;Q15293-2	Q15293;Q15293-2				4.6794e+06
Q15375;Q15375-2;Q15375-4	Q15375;Q15375-2;Q15375-4				2.23707e+06
Q15435;Q15435-2	Q15435;Q15435-2				522369
Q15459;Q15459-2	Q15459;Q15459-2				2.30908e+06
Q15465	Q15465				2.11483e+06
Q15582	Q15582				5.02035e+07
Q15768	Q15768				3.28988e+06
Q15782;Q15782-6	Q15782;Q15782-6				1.26981e+07
Q15818	Q15818				4.43889e+07
Q15828	Q15828				1.64645e+06
Q15846	Q15846				2.26543e+06
Q15847	Q15847				875533
Q15848	Q15848				2.87827e+06
Q15904	Q15904				9.64525e+07
Q16270	Q16270;Q16270-2				1.54242e+08
Q16288;Q16288-2;Q16288-3;Q16288-4;Q16288-5	Q16288;Q16288-2;Q16288-3;Q16288-4;Q16288-5				5.15618e+06
Q16363;Q16363-2	Q16363;Q16363-2				2.13454e+06
Q16394	Q16394				825941
Q16531	Q16531				1.30971e+06
Q16555;Q16555-2	Q16555;Q16555-2				1.61331e+06
Q16568	Q16568				4.43953e+06
Q16581	Q16581				4.05694e+06
Q16610;Q16610-4	Q16610;Q16610-2;Q16610-4				6.09371e+07
Q16620;Q16620-2;Q16620-3;Q16620-4;Q16620-5;Q16620-6	Q16620;Q16620-2;Q16620-3;Q16620-4;Q16620-5;Q16620-6				1.02264e+07
Q16627;Q16627-2	Q16627;Q16627-2				6.89294e+06
Q16651	Q16651;Q16651-2				449418
Q16653;Q16653-10;Q16653-11;Q16653-13;Q16653-2;Q16653-3;Q16653-5;Q16653-6;Q16653-7;Q16653-8;Q16653-9	Q16653;Q16653-10;Q16653-11;Q16653-13;Q16653-2;Q16653-3;Q16653-5;Q16653-6;Q16653-7;Q16653-8;Q16653-9				1.89871e+07
Q16658	Q16658				6.50073e+06
Q16674	Q16674				1.75641e+07
Q16706	Q16706				4.02949e+06
Q16769	Q16769				3.50642e+07
Q16775;Q16775-2	Q16775;Q16775-2				407415
Q16849	Q16849;Q16849-3;Q16849-2				1.69911e+07
Q16853;Q16853-2	Q16853;Q16853-2				1.52447e+06
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6;Q16881-7	Q16881;Q16881-4;Q16881-5;Q16881-2;Q16881-3;Q16881-6;Q16881-7				315647
Q17RC7	Q17RC7				8.33624e+07
Q24JP5;Q24JP5-2	Q24JP5;Q24JP5-2;Q24JP5-3				1.0839e+07
Q2TAL6	Q2TAL6				1.22925e+06
Q2UY09	Q2UY09;Q2UY09-2;Q2UY09-3				2.52046e+06
Q495W5;Q495W5-2	Q495W5;Q495W5-2				4.19705e+06
Q496H8	Q496H8				100735
Q4G0P3	Q4G0P3;Q4G0P3-10;Q4G0P3-5;Q4G0P3-6;Q4G0P3-8				2.56737e+07
Q4G148;Q4G148-2	Q4G148;Q4G148-2				320830
Q4KWH8;Q4KWH8-3;Q4KWH8-4	Q4KWH8;Q4KWH8-2;Q4KWH8-3;Q4KWH8-4				4.05336e+06
Q4LDE5	Q4LDE5				52279.8
Q4ZHG4;Q4ZHG4-2	Q4ZHG4;Q4ZHG4-2				99968.3
Q504Y0;Q504Y0-2;Q504Y0-3;Q504Y0-4;Q504Y0-5	Q504Y0;Q504Y0-2;Q504Y0-3;Q504Y0-4;Q504Y0-5				728803
Q53EL9;Q53EL9-3	Q53EL9;Q53EL9-2;Q53EL9-3				1.62663e+09
Q53RD9;Q53RD9-2;Q53RD9-3;Q53RD9-4	Q53RD9;Q53RD9-2;Q53RD9-3;Q53RD9-4				7.13896e+06
Q53RT3;Q53RT3-2	Q53RT3;Q53RT3-2				519620
Q562R1	Q562R1				3.59739e+07
Q58EX2;Q58EX2-2;Q58EX2-3;Q58EX2-4	Q58EX2;Q58EX2-2;Q58EX2-3;Q58EX2-4				543560
Q58FF6	Q58FF6				617440
Q5BIV9	Q5BIV9				9.19198e+06
Q5BLP8;Q5BLP8-2;Q5BLP8-3	Q5BLP8;Q5BLP8-2;Q5BLP8-3				1.32695e+07
Q5FWE3;Q5FWE3-3	Q5FWE3;Q5FWE3-3				1.83932e+07
Q5IJ48;Q5IJ48-2;Q5IJ48-3	Q5IJ48;Q5IJ48-2;Q5IJ48-3				7.49154e+06
Q5JRA6;Q5JRA6-2	Q5JRA6;Q5JRA6-2				967900
Q5JS37;Q5JS37-2	Q5JS37;Q5JS37-2				767698
Q5JTV8;Q5JTV8-2;Q5JTV8-3	Q5JTV8;Q5JTV8-2;Q5JTV8-3				620241
Q5KU26	Q5KU26				2.71727e+07
Q5R3F8	Q5R3F8				1.53429e+06
Q5SGD2;Q5SGD2-2;Q5SGD2-3	Q5SGD2;Q5SGD2-2;Q5SGD2-3				816022
Q5SRI9	Q5SRI9				1.8125e+06
Q5SZI1	Q5SZI1				1.83473e+06
Q5SZK8	Q5SZK8;Q5SZK8-2				355849
Q5T013;Q5T013-2;Q5T013-3;Q5T013-4	Q5T013;Q5T013-2;Q5T013-3;Q5T013-4				1.73147e+09
Q5T5C0;Q5T5C0-2	Q5T5C0;Q5T5C0-2				1.49561e+07
Q5T848	Q5T848				2.49299e+06
Q5TAX3;Q5TAX3-2	Q5TAX3;Q5TAX3-2				1.06127e+07
Q5VSG8	Q5VSG8				2.19587e+06
Q5VU97	Q5VU97				8.42751e+06
Q5VUB5	Q5VUB5				1.27291e+06
Q5VV43;Q5VV43-2;Q5VV43-3;Q5VV43-4	Q5VV43;Q5VV43-2;Q5VV43-3;Q5VV43-4				341191
Q5VWW1;Q5VWW1-2;Q5VWW1-3	Q5VWW1;Q5VWW1-2;Q5VWW1-3				178640
