Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F4_190100053.mzML
P07225	P07225				1.38971e+08
P07237	P07237				5.39792e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				376973
P07311	P07311				2.42853e+06
P07333	P07333;P07333-2				1.28268e+08
P07339	P07339				2.38602e+08
P07357	P07357				4.82856e+07
P07358	P07358				5.25044e+07
P07360	P07360				2.19143e+07
P07437;P68371	P04350;P07437;P68371				963340
P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6	P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6				1.25992e+07
P07492	P07492;P07492-2;P07492-3				4.51508e+06
P07585	P07585				7.03504e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				6.07768e+07
P07686	P07686				1.76164e+07
P07711	P07711;P07711-3				3.29161e+07
P07737	P07737				6.13994e+06
P07858	P07858				1.08885e+08
P07900;P07900-2	P07900;P07900-2				1.75957e+06
P07942	P07942				1.97529e+07
P07951-3	P09493-6;P09493-7;P09493-8;P07951-3				507133
P07996	P07996;P07996-2				1.35549e+07
P07998	P07998				5.80574e+07
P08123	P08123				9.30538e+07
P08133;P08133-2	P08133;P08133-2				2.7532e+06
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				5.48428e+07
P08185	P08185				1.15088e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				8.9696e+06
P08236;P08236-2;P08236-3	P08236;P08236-2;P08236-3				618537
P08238	P07900;P08238;P07900-2				350105
P08253	P08253;P08253-2;P08253-3				6.86626e+07
P08294	P08294				3.402e+08
P08476	P08476				299538
P08493-2	P08493;P08493-2				9.34166e+07
P08571	P08571				4.16436e+08
P08572	P08572				8.17872e+06
P08581;P08581-2	P08581;P08581-2				6.54787e+06
P08582	P08582				6.16007e+06
P08603	P08603				3.49243e+08
P08637	P08637				2.54093e+07
P08670	P08670;P17661				1.13699e+07
P08697	P08697;P08697-2				2.39341e+08
P08758	P08758				3.69991e+06
