Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B12_CSF_819-14_190217150250.mzML
P10644;P10644-2	P10644;P10644-2				233538
P10645	P10645				1.09239e+08
P10721;P10721-2	P10721;P10721-2				1.42443e+06
P10745	P10745				466227
P10768	P10768				1.29142e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				1.87654e+09
P10915	P10915				65212.1
P11021	P11021				7.54904e+06
P11047	P11047				3.65969e+06
P11117	P11117				1.15399e+06
P11142	P11142				4.25962e+06
P11279	P11279;P11279-2				6.27713e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				6.77622e+06
P11464-4	P11464-4				6.56733e+06
P11597	P11597;P11597-2				404144
P11684	P11684				967677
P11717	P11717				1.35726e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				82282.5
P12109	P12109				2.41299e+07
P12110	P12110;P12110-2;P12110-3				2.50665e+06
P12111	P12111;P12111-2;P12111-4				1.05577e+07
P12111-4	P12111-4				590551
P12259	P12259				1.36905e+07
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				759069
P12273	P12273				454997
P12277	P12277				1.29873e+06
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				4.36571e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				4.85667e+06
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				824737
P12830;P12830-2	P12830;P12830-2				1.27929e+06
P12955;P12955-2;P12955-3	P12955;P12955-2;P12955-3				871917
P13284	P13284				1.87413e+06
P13385;P51864	P13385;P51864				1.01838e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				2.26389e+07
P13489	P13489				521511
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				1.07752e+06
P13521	P13521				3.83855e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				1.27064e+08
P13591-3	P13591-1;P13591-3;P13591-4				1.40419e+07
P13598	P13598				2.5218e+06
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				8.22708e+06
P13637;P13637-2;P13637-3	P13637;P13637-2;P13637-3				561904
P13639	P13639				507822
P13645	P13645				8.20474e+06
P13647	P13647				1.49468e+06
P13667	P13667				227491
P13671	P13671				1.59723e+07
P13693	P13693				65985.2
P13747	P13747				1.19158e+06
P13796	P13796				2.80357e+06
P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3				424349
P13987;P13987-2	P13987;P13987-2				2.20511e+07
P14136	P14136				2.00418e+06
P14138;P14138-2;P14138-3	P14138;P14138-2;P14138-3				990950
