Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D2_CSF_398-13.mzML
Q8N3J2	Q8N3J2				8.63289e+06
Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5	Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5				1.20323e+07
Q8N3T1	Q8N3T1				9.48268e+06
Q8N3T6	Q8N3T6				4.15042e+06
Q8N428	Q8N428;Q8N428-2				3.7588e+06
Q8N436	Q8N436				446285
Q8N474	Q8N474				586360
Q8N475;Q8N475-2	Q8N475;Q8N475-2;Q8N475-3				4.16974e+06
Q8N608;Q8N608-2;Q8N608-3;Q8N608-4	Q8N608;Q8N608-2;Q8N608-3;Q8N608-4				767553
Q8N6C5;Q8N6C5-2;Q8N6C5-4	Q8N6C5;Q8N6C5-2;Q8N6C5-4				2.12926e+06
Q8N8Z6;Q8N8Z6-2	Q8N8Z6;Q8N8Z6-2				500298
Q8N967	Q8N967				1.42253e+06
Q8N9I0	Q8N9I0				586198
Q8NBI6	Q8NBI6				1.55309e+06
Q8NBJ4;Q8NBJ4-2	Q8NBJ4;Q8NBJ4-2				1.15993e+07
Q8NBJ7;Q8NBJ7-2	Q8NBJ7;Q8NBJ7-2;Q8NBJ7-3				773389
Q8NBL3;Q8NBL3-2	Q8NBL3;Q8NBL3-2				179585
Q8NBP7	Q8NBP7				1.8695e+06
Q8NBS9;Q8NBS9-2	Q8NBS9;Q8NBS9-2				870563
Q8NC42	Q8NC42				460955
Q8NCC3	Q8NCC3;Q8NCC3-2				2.66566e+06
Q8NCH0	Q8NCH0				455240
Q8NCL4	Q8NCL4				5.14986e+06
Q8NCW5;Q8NCW5-2	Q8NCW5;Q8NCW5-2				5.33498e+06
Q8NEP3;Q8NEP3-2;Q8NEP3-3	Q8NEP3;Q8NEP3-2;Q8NEP3-3				1.1743e+09
Q8NES3;Q8NES3-3	Q8NES3;Q8NES3-3				7.37577e+06
Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7	Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7				1.74774e+07
Q8NFL0	Q8NFL0				172498
Q8NFP4;Q8NFP4-2	Q8NFP4;Q8NFP4-2				2.86935e+06
Q8NFT8	Q8NFT8				266813
Q8NFY4;Q8NFY4-6	Q8NFY4;Q8NFY4-2;Q8NFY4-3;Q8NFY4-4;Q8NFY4-5;Q8NFY4-6;Q8NFY4-8				3.80122e+06
Q8NFZ4	Q8NFZ4				6.76443e+06
Q8NFZ8	Q8NFZ8				6.30377e+07
Q8NHG7	Q8NHG7				1.26006e+06
Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3	Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3				630053
Q8NHL6;Q8NHL6-2;Q8NHL6-3;Q8NHL6-4;Q8NHL6-5	Q8NHL6;Q8NHL6-5;Q8NHL6-2;Q8NHL6-3;Q8NHL6-4				927494
Q8NHP8	Q8NHP8;Q8NHP8-2				6.26528e+06
Q8NHQ9	Q8NHQ9				1.40242e+08
Q8TAB3;Q8TAB3-2;Q8TAB3-3	Q8TAB3;Q8TAB3-2;Q8TAB3-3				687618
Q8TAG5;Q8TAG5-2	Q8TAG5;Q8TAG5-2				3.74574e+07
Q8TBP5	Q8TBP5				6.39848e+06
Q8TCZ2	Q8TCZ2;Q8TCZ2-2;Q8TCZ2-3;Q8TCZ2-5;Q8TCZ2-6				4.53366e+07
Q8TDF5;Q8TDF5-1;Q8TDF5-2	Q8TDF5;Q8TDF5-1;Q8TDF5-2				324884
Q8TDQ0;Q8TDQ0-2	Q8TDQ0;Q8TDQ0-2				3.65756e+06
Q8TEA8	Q8TEA8				1.831e+06
Q8TER0;Q8TER0-5	Q8TER0;Q8TER0-3;Q8TER0-4;Q8TER0-5				4.98715e+06
Q8TEU8	Q8TEU8				1.81318e+07
Q8WUA8	Q8WUA8				761177
Q8WUJ3	Q8WUJ3;Q8WUJ3-2				2.25559e+07
Q8WVN6	Q8WVN6				3.40557e+06
Q8WVQ1;Q8WVQ1-3	Q8WVQ1;Q8WVQ1-2;Q8WVQ1-3				8.61151e+06
Q8WWX9	Q8WWX9				3.132e+06
Q8WX77	Q8WX77				1.16299e+06
Q8WXD2	Q8WXD2;Q8WXD2-2				1.08019e+08
Q8WXD2-2	Q8WXD2-2				5.94281e+06
Q8WXS5	Q8WXS5				124426
Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4	Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4				9.51146e+06
Q8WYK1	Q8WYK1				3.54695e+06
Q8WZ75;Q8WZ75-2;Q8WZ75-3	Q8WZ75;Q8WZ75-2;Q8WZ75-3				2.03153e+06
Q8WZA1	Q8WZA1;Q8WZA1-2				2.33757e+07
Q92484;Q92484-2	Q92484;Q92484-2				6.12193e+06
Q92485	Q92485				4.76318e+06
Q92496;Q92496-2	Q02985;Q92496;Q02985-2;Q92496-2;Q92496-3				5.12204e+06
Q92520	Q92520				2.98953e+08
Q92542;Q92542-2	Q92542;Q92542-2				1.91864e+06
Q92563	Q92563				1.92427e+07
Q92597;Q92597-2;Q92597-3	Q92597;Q92597-2;Q92597-3				337547
Q92626	Q92626				573646
Q92673	Q92673				1.00458e+07
Q92692;Q92692-2	Q92692;Q92692-2				2.18858e+06
Q92729;Q92729-2;Q92729-3;Q92729-4	Q92729;Q92729-2;Q92729-3;Q92729-4				578243
Q92743	Q92743				3.34885e+06
Q92752	Q92752;Q92752-2				7.9153e+06
Q92765	Q92765				1.79708e+07
Q92820	Q92820				1.63029e+07
Q92823;Q92823-2;Q92823-5	Q92823;Q92823-2;Q92823-3;Q92823-4;Q92823-5;Q92823-6				1.46905e+08
Q92824;Q92824-2	Q92824;Q92824-2				188553
Q92832;Q92832-2	Q92832;Q92832-2				914532
Q92854	Q92854;Q92854-2				1.55938e+06
Q92859;Q92859-2;Q92859-3	Q92859;Q92859-2;Q92859-3;Q92859-4				1.76361e+07
Q92876	Q92876;Q92876-2				1.69528e+08
Q92890;Q92890-1;Q92890-3	Q92890;Q92890-1;Q92890-3				691571
Q92896;Q92896-2;Q92896-3	Q92896;Q92896-2;Q92896-3				1.95988e+06
Q92911	Q92911				1.40996e+06
Q92932;Q92932-2;Q92932-3;Q92932-4	Q92932;Q92932-2;Q92932-3;Q92932-4				1.68428e+07
Q92935	Q92935				65986.8
Q92945;Q96AE4;Q96AE4-2	Q92945;Q96AE4;Q96AE4-2				3.36958e+06
Q92954;Q92954-2;Q92954-5;Q92954-6	Q92954;Q92954-2;Q92954-3;Q92954-4;Q92954-5;Q92954-6				6.65439e+06
Q93063;Q93063-2;Q93063-3	Q93063;Q93063-2;Q93063-3				1.39567e+06
Q93091	Q93091				5.35719e+06
Q969H8	Q969H8				1.95878e+06
Q969P0;Q969P0-3	Q969P0;Q969P0-3				9.02357e+07
Q969T9	Q969T9;Q969T9-2				1.00661e+07
Q969Z4	Q969Z4				1.2717e+06
Q96AP7	Q96AP7				3.75593e+06
Q96AQ1;Q96AQ1-2;Q96LY2;Q96LY2-2	Q96LY2;Q96LY2-2;Q96AQ1;Q96AQ1-2				671551
Q96AQ6;Q96AQ6-2	Q96AQ6;Q96AQ6-2;Q96AQ6-3				2.35973e+06
Q96B86;Q96B86-3;Q96B86-4	Q96B86;Q96B86-3;Q96B86-4				8.56044e+06
Q96BY9	Q96BY9				1.68314e+06
Q96BZ4	Q96BZ4				1.03534e+07
Q96CG8;Q96CG8-2;Q96CG8-3	Q96CG8;Q96CG8-2;Q96CG8-3				1.00513e+06
Q96CW9;Q96CW9-2	Q96CW9;Q96CW9-2				509845
Q96CX2	Q96CX2				1.12031e+06
Q96EE4	Q96EE4				1.45256e+06
Q96EG1	Q96EG1				347930
Q96EU7	Q96EU7				185331
Q96FE5;Q96FE5-2	Q96FE5;Q96FE5-2				9.90932e+06
Q96FE7-4	Q96FE7;Q96FE7-2;Q96FE7-4;Q96FE7-5				4.06637e+07
Q96FJ2	P63167;Q96FJ2				6.0886e+06
Q96GD0	Q6ZT62;Q96GD0;Q6ZT62-2				185751
Q96GW7	Q96GW7;Q96GW7-2				2.21883e+08
Q96HD1;Q96HD1-2	Q96HD1;Q96HD1-2				2.85773e+06
Q96HF1	Q96HF1				344092
Q96HU1;Q96HU1-2	Q96HU1;Q96HU1-2				2.0847e+06
Q96ID5	Q96ID5				1.43197e+07
Q96IU4	Q96IU4				1.33245e+06
Q96IY4	Q96IY4;Q96IY4-2				6.86455e+06
Q96J42;Q96J42-2	Q96J42;Q96J42-2				363998
Q96JA1	Q96JA1;Q96JA1-2				1.49806e+06
Q96JF0	Q96JF0;Q96JF0-2				1.38773e+07
Q96JP9	Q96JP9				198280
Q96JQ0	Q96JQ0				1.08178e+06
