Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B6_CSF_257-15.mzML
P07686	P07686				6.99487e+06
P07711	P07711;P07711-3				1.53885e+07
P07737	P07737				3.04328e+06
P07858	P07858				3.97785e+07
P07900;P07900-2	P07900;P08238;P07900-2				1.80814e+06
P07942	P07942				4.98921e+06
P07996	P07996;P07996-2				4.15697e+06
P07998	P07998				2.70706e+07
P08123	P08123				2.8316e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				2.23979e+07
P08185	P08185				1.00691e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				6.66121e+06
P08236;P08236-2;P08236-3	P08236;P08236-2;P08236-3				343828
P08253	P08253;P08253-2;P08253-3				3.46748e+07
P08294	P08294				9.29004e+07
P08493-2	P08493;P08493-2				4.10673e+07
P08571	P08571				1.89963e+08
P08572	P08572				6.58718e+06
P08581;P08581-2	P08581;P08581-2				1.67268e+06
P08582	P08582;P08582-2				1.39536e+06
P08603	P08603				1.65499e+08
P08637	P08637				5.86645e+06
P08670	P08670;P17661				1.8586e+06
P08697	P08697;P08697-2				1.22809e+08
P08758	P08758				3.09331e+06
P08779	P08779				2.25651e+07
P09104	P09104;P09104-2				7.31198e+06
P09172	P09172				808894
P09211	P09211				3.8726e+06
P09382	P09382				1.02594e+07
P09417;P09417-2	P09417;P09417-2				4.47307e+06
P09486	P09486				8.56315e+07
P09603	P09603				4.35257e+07
P09619	P09619				7.12004e+06
P09622;P09622-3	P09622;P09622-2;P09622-3				3.55732e+06
P09668	P09668				1.31667e+07
P09871	P09871				8.89907e+07
P09936	P09936				5.21236e+06
P09958	P09958				2.68422e+06
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				170948
P09972	P04075;P09972;P04075-2				2.8961e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				1.4759e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				9.72859e+08
P0C6S8	P0C6S8				2.60032e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				8.88769e+07
P0DJI8;P0DJI9	P0DJI8;P0DJI9;P0DJI9-2				1.74183e+06
P0DMQ5	P0DMQ5				2.05625e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				2.98727e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.92739e+09
P0DOX3	P0DOX3				7.93143e+06
P0DOX5	P0DOX5				3.14086e+09
P0DOX7	P01834;P0DOX7				5.10139e+08
P0DOX8	B9A064;P0DOX8				3.01799e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				1.43395e+09
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				1.04523e+06
