Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F6_CSF_134.mzML
Q8N128;Q8N128-2	Q8N128;Q8N128-2				222717
Q8N129	Q8N129				452349
Q8N149;Q8N149-2;Q8N149-3;Q8N149-4	Q8N149;Q8N149-2;Q8N149-3;Q8N149-4				228576
Q8N2Q7;Q8N2Q7-2	Q8N2Q7;Q8N2Q7-2				1.42921e+06
Q8N2S1;Q8N2S1-2;Q8N2S1-3	Q8N2S1;Q8N2S1-2;Q8N2S1-3				1.2055e+07
Q8N3D4	Q8N3D4				346838
Q8N3G9;Q8N3G9-2;Q8N3G9-3	Q8N3G9;Q8N3G9-2;Q8N3G9-3				349139
Q8N3J2	Q8N3J2				9.38004e+06
Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5	Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5				2.2072e+07
Q8N3T1	Q8N3T1				439139
Q8N3T6	Q8N3T6				3.13958e+06
Q8N3Z0	Q8N3Z0				504663
Q8N428	Q8N428;Q8N428-2				2.68303e+06
Q8N436	Q8N436				1.12563e+06
Q8N474	Q8N474				550918
Q8N475;Q8N475-2	Q8N475;Q8N475-2;Q8N475-3				3.58744e+06
Q8N608;Q8N608-2;Q8N608-3;Q8N608-4	Q8N608;Q8N608-2;Q8N608-3;Q8N608-4				656061
Q8N6C5;Q8N6C5-2;Q8N6C5-4	Q8N6C5;Q8N6C5-2;Q8N6C5-4				3.00763e+06
Q8N8Z6;Q8N8Z6-2	Q8N8Z6;Q8N8Z6-2				815611
Q8N967	Q8N967				2.77374e+06
Q8N9I0	Q8N9I0				169511
Q8NBI6	Q8NBI6				3.07947e+06
Q8NBJ4;Q8NBJ4-2	Q8NBJ4;Q8NBJ4-2				1.69946e+07
Q8NBJ7;Q8NBJ7-2	Q8NBJ7;Q8NBJ7-2;Q8NBJ7-3				406808
Q8NBP7	Q8NBP7				833724
Q8NBS9;Q8NBS9-2	Q8NBS9;Q8NBS9-2				672627
Q8NC42	Q8NC42				486791
Q8NCC3	Q8NCC3;Q8NCC3-2				1.7655e+06
Q8NCH0	Q8NCH0				532460
Q8NCL4	Q8NCL4				7.47446e+06
Q8NCW5;Q8NCW5-2	Q8NCW5;Q8NCW5-2				5.58757e+06
Q8NEP3;Q8NEP3-2;Q8NEP3-3	Q8NEP3;Q8NEP3-2;Q8NEP3-3				2.44285e+08
Q8NES3;Q8NES3-3	Q8NES3;Q8NES3-3				4.50327e+06
Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7	Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-4;Q8NEY1-6;Q8NEY1-7				1.76294e+07
Q8NFL0	Q8NFL0				124466
Q8NFP4;Q8NFP4-2	Q8NFP4;Q8NFP4-2				991059
Q8NFT8	Q8NFT8				404652
Q8NFY4;Q8NFY4-6	Q8NFY4;Q8NFY4-2;Q8NFY4-3;Q8NFY4-4;Q8NFY4-5;Q8NFY4-6;Q8NFY4-8				4.02376e+06
Q8NFZ4	Q8NFZ4				9.619e+06
Q8NFZ8	Q8NFZ8				5.71434e+07
Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3	Q8NHJ6;Q8NHJ6-2;Q8NHJ6-3				954171
Q8NHP8	Q8NHP8;Q8NHP8-2				5.17152e+06
Q8NHQ9	Q8NHQ9				2.07173e+08
Q8TAB3;Q8TAB3-2;Q8TAB3-3	Q8TAB3;Q8TAB3-2;Q8TAB3-3				1.11925e+06
Q8TAG5;Q8TAG5-2	Q8TAG5;Q8TAG5-2				6.84673e+07
Q8TBP5	Q8TBP5				9.33768e+06
Q8TCZ2	Q8TCZ2;Q8TCZ2-2;Q8TCZ2-3;Q8TCZ2-5;Q8TCZ2-6				5.72487e+07
Q8TDF5;Q8TDF5-1;Q8TDF5-2	Q8TDF5;Q8TDF5-1;Q8TDF5-2				686297
Q8TDQ0;Q8TDQ0-2	Q8TDQ0;Q8TDQ0-2				3.94389e+06
Q8TEA8	Q8TEA8				1.76434e+06
Q8TER0;Q8TER0-5	Q8TER0;Q8TER0-3;Q8TER0-4;Q8TER0-5				4.85666e+06
Q8TEU8	Q8TEU8				2.04944e+07
Q8WUA8	Q8WUA8				238518
Q8WUJ3	Q8WUJ3;Q8WUJ3-2				3.5607e+06
Q8WVN6	Q8WVN6				3.46752e+06
Q8WVQ1;Q8WVQ1-3	Q8WVQ1;Q8WVQ1-2;Q8WVQ1-3				6.59577e+06
Q8WWX9	Q8WWX9				1.53836e+06
Q8WX77	Q8WX77				946587
Q8WXD2	Q8WXD2;Q8WXD2-2				2.19206e+08
Q8WXD2-2	Q8WXD2-2				1.43418e+07
Q8WXS5	Q8WXS5				147138
Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4	Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4				2.00768e+07
Q8WYK1	Q8WYK1				3.00881e+06
Q8WZ75;Q8WZ75-2	Q8WZ75;Q8WZ75-2;Q8WZ75-3				2.27295e+06
